Month,Date,Car,Hour
January,Saturday,220,1
February,Saturday,232,1
March,Saturday,253,1
April,Saturday,183,1
May,Saturday,172,1
June,Saturday,185,1
July,Saturday,205,1
August,Saturday,239,1
September,Saturday,195,1
October,Saturday,205,1
November,Saturday,251,1
December,Saturday,222,1
January,Saturday,181,2
February,Saturday,217,2
March,Saturday,176,2
April,Saturday,93,2
May,Saturday,164,2
June,Saturday,157,2
July,Saturday,198,2
August,Saturday,158,2
September,Saturday,184,2
October,Saturday,150,2
November,Saturday,203,2
December,Saturday,214,2
January,Saturday,204,3
February,Saturday,198,3
March,Saturday,216,3
April,Saturday,151,3
May,Saturday,179,3
June,Saturday,144,3
July,Saturday,76,3
August,Saturday,204,3
September,Saturday,170,3
October,Saturday,153,3
November,Saturday,225,3
December,Saturday,182,3
January,Saturday,209,4
February,Saturday,201,4
March,Saturday,223,4
April,Saturday,126,4
May,Saturday,168,4
June,Saturday,172,4
July,Saturday,252,4
August,Saturday,212,4
September,Saturday,178,4
October,Saturday,112,4
November,Saturday,200,4
December,Saturday,228,4
January,Saturday,286,5
February,Saturday,274,5
March,Saturday,362,5
April,Saturday,158,5
May,Saturday,198,5
June,Saturday,233,5
July,Saturday,299,5
August,Saturday,243,5
September,Saturday,240,5
October,Saturday,155,5
November,Saturday,331,5
December,Saturday,301,5
January,Saturday,373,6
February,Saturday,408,6
March,Saturday,456,6
April,Saturday,231,6
May,Saturday,223,6
June,Saturday,316,6
July,Saturday,364,6
August,Saturday,286,6
September,Saturday,338,6
October,Saturday,237,6
November,Saturday,414,6
December,Saturday,387,6
January,Saturday,420,7
February,Saturday,419,7
March,Saturday,459,7
April,Saturday,298,7
May,Saturday,252,7
June,Saturday,498,7
July,Saturday,495,7
August,Saturday,302,7
September,Saturday,440,7
October,Saturday,258,7
November,Saturday,546,7
December,Saturday,511,7
January,Saturday,466,8
February,Saturday,433,8
March,Saturday,578,8
April,Saturday,350,8
May,Saturday,330,8
June,Saturday,391,8
July,Saturday,604,8
August,Saturday,329,8
September,Saturday,552,8
October,Saturday,250,8
November,Saturday,563,8
December,Saturday,584,8
January,Saturday,470,9
February,Saturday,497,9
March,Saturday,645,9
April,Saturday,338,9
May,Saturday,298,9
June,Saturday,552,9
July,Saturday,496,9
August,Saturday,274,9
September,Saturday,530,9
October,Saturday,246,9
November,Saturday,551,9
December,Saturday,547,9
January,Saturday,493,10
February,Saturday,433,10
March,Saturday,555,10
April,Saturday,364,10
May,Saturday,291,10
June,Saturday,477,10
July,Saturday,465,10
August,Saturday,251,10
September,Saturday,477,10
October,Saturday,292,10
November,Saturday,506,10
December,Saturday,583,10
January,Saturday,370,11
February,Saturday,293,11
March,Saturday,632,11
April,Saturday,312,11
May,Saturday,250,11
June,Saturday,435,11
July,Saturday,544,11
August,Saturday,227,11
September,Saturday,532,11
October,Saturday,327,11
November,Saturday,557,11
December,Saturday,460,11
January,Saturday,417,12
February,Saturday,464,12
March,Saturday,522,12
April,Saturday,294,12
May,Saturday,219,12
June,Saturday,374,12
July,Saturday,396,12
August,Saturday,240,12
September,Saturday,502,12
October,Saturday,284,12
November,Saturday,530,12
December,Saturday,498,12
January,Saturday,385,13
February,Saturday,383,13
March,Saturday,404,13
April,Saturday,322,13
May,Saturday,229,13
June,Saturday,416,13
July,Saturday,396,13
August,Saturday,248,13
September,Saturday,413,13
October,Saturday,223,13
November,Saturday,485,13
December,Saturday,446,13
January,Saturday,284,14
February,Saturday,289,14
March,Saturday,440,14
April,Saturday,239,14
May,Saturday,215,14
June,Saturday,385,14
July,Saturday,321,14
August,Saturday,223,14
September,Saturday,480,14
October,Saturday,200,14
November,Saturday,412,14
December,Saturday,357,14
January,Saturday,284,15
February,Saturday,320,15
March,Saturday,413,15
April,Saturday,218,15
May,Saturday,201,15
June,Saturday,334,15
July,Saturday,348,15
August,Saturday,235,15
September,Saturday,443,15
October,Saturday,189,15
November,Saturday,385,15
December,Saturday,366,15
January,Saturday,278,16
February,Saturday,279,16
March,Saturday,337,16
April,Saturday,175,16
May,Saturday,237,16
June,Saturday,308,16
July,Saturday,419,16
August,Saturday,161,16
September,Saturday,275,16
October,Saturday,205,16
November,Saturday,371,16
December,Saturday,366,16
January,Saturday,242,17
February,Saturday,249,17
March,Saturday,378,17
April,Saturday,206,17
May,Saturday,175,17
June,Saturday,244,17
July,Saturday,421,17
August,Saturday,197,17
September,Saturday,242,17
October,Saturday,202,17
November,Saturday,303,17
December,Saturday,326,17
January,Saturday,196,18
February,Saturday,270,18
March,Saturday,264,18
April,Saturday,196,18
May,Saturday,177,18
June,Saturday,295,18
July,Saturday,348,18
August,Saturday,215,18
September,Saturday,183,18
October,Saturday,130,18
November,Saturday,296,18
December,Saturday,254,18
January,Saturday,147,19
February,Saturday,176,19
March,Saturday,266,19
April,Saturday,182,19
May,Saturday,151,19
June,Saturday,195,19
July,Saturday,231,19
August,Saturday,245,19
September,Saturday,217,19
October,Saturday,118,19
November,Saturday,235,19
December,Saturday,222,19
January,Saturday,145,20
February,Saturday,170,20
March,Saturday,224,20
April,Saturday,146,20
May,Saturday,129,20
June,Saturday,148,20
July,Saturday,237,20
August,Saturday,170,20
September,Saturday,193,20
October,Saturday,125,20
November,Saturday,218,20
December,Saturday,229,20
January,Saturday,144,21
February,Saturday,124,21
March,Saturday,139,21
April,Saturday,139,21
May,Saturday,139,21
June,Saturday,129,21
July,Saturday,199,21
August,Saturday,183,21
September,Saturday,122,21
October,Saturday,109,21
November,Saturday,169,21
December,Saturday,182,21
January,Saturday,127,22
February,Saturday,157,22
March,Saturday,141,22
April,Saturday,98,22
May,Saturday,128,22
June,Saturday,156,22
July,Saturday,134,22
August,Saturday,132,22
September,Saturday,139,22
October,Saturday,157,22
November,Saturday,143,22
December,Saturday,140,22
January,Saturday,100,23
February,Saturday,135,23
March,Saturday,124,23
April,Saturday,96,23
May,Saturday,135,23
June,Saturday,111,23
July,Saturday,109,23
August,Saturday,110,23
September,Saturday,119,23
October,Saturday,132,23
November,Saturday,149,23
December,Saturday,126,23
January,Saturday,72,24
February,Saturday,93,24
March,Saturday,103,24
April,Saturday,94,24
May,Saturday,68,24
June,Saturday,93,24
July,Saturday,132,24
August,Saturday,95,24
September,Saturday,92,24
October,Saturday,120,24
November,Saturday,113,24
December,Saturday,125,24
January,Sunday,58,1
February,Sunday,93,1
March,Sunday,118,1
April,Sunday,66,1
May,Sunday,52,1
June,Sunday,103,1
July,Sunday,115,1
August,Sunday,134,1
September,Sunday,97,1
October,Sunday,81,1
November,Sunday,163,1
December,Sunday,112,1
January,Sunday,80,2
February,Sunday,79,2
March,Sunday,98,2
April,Sunday,34,2
May,Sunday,88,2
June,Sunday,54,2
July,Sunday,64,2
August,Sunday,74,2
September,Sunday,76,2
October,Sunday,59,2
November,Sunday,72,2
December,Sunday,79,2
January,Sunday,72,3
February,Sunday,108,3
March,Sunday,106,3
April,Sunday,46,3
May,Sunday,60,3
June,Sunday,75,3
July,Sunday,49,3
August,Sunday,64,3
September,Sunday,64,3
