,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
0,2,2020-01-18,1,C,3,2,1,1,4,4,9,9,10,11,10,5,6,5,6,5,2,2,4,4,1,1,0,1,106,WEMPERHARDT Frontière,N12,Belgique vers Wemperhardt,Belgique,Wemperhardt,71763.83,135930.69,30,8
1,2,2020-01-18,2,C,4,1,1,3,2,5,7,12,11,9,11,12,4,4,3,5,6,7,6,5,1,2,0,2,123,WEMPERHARDT Frontière,N12,Wemperhardt vers Belgique,Belgique,Wemperhardt,71763.83,135930.69,32,19
2,2,2020-01-18,3,C,7,3,2,4,6,9,16,21,21,20,21,17,10,9,9,10,8,9,10,9,2,3,0,3,229,WEMPERHARDT Frontière,N12,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,71763.83,135930.69,62,27
3,7,2020-01-18,1,C,2,0,0,0,1,0,8,6,5,0,1,6,1,1,2,2,1,4,0,1,1,0,1,0,43,WASSERBILLIG Frontière,N1,Allemagne vers Wasserbillig,Allemagne,Wasserbillig,104390.6,86705.04,11,5
4,7,2020-01-18,2,C,0,0,0,0,1,1,5,6,5,7,5,2,2,1,4,3,3,3,2,1,0,0,0,0,51,WASSERBILLIG Frontière,N1,Wasserbillig vers Allemagne,Allemagne,Wasserbillig,104390.6,86705.04,18,8
5,7,2020-01-18,3,C,2,0,0,0,2,1,13,12,10,7,6,8,3,2,6,5,4,7,2,2,1,0,1,0,94,WASSERBILLIG Frontière,N1,Allemagne <-> Wasserbillig deux sens ,Allemagne,Wasserbillig,104390.6,86705.04,29,13
6,10,2020-01-18,1,C,2,2,1,2,0,0,7,7,7,2,3,2,7,6,4,3,7,2,1,2,1,0,1,1,70,REMICH Frontière,N2,Allemagne vers Remich,Allemagne,Remich,94650.09,67632.38,16,10
7,10,2020-01-18,2,C,0,1,3,1,1,1,4,5,4,3,7,4,3,5,4,2,5,3,1,1,1,0,0,0,59,REMICH Frontière,N2,Remich vers Allemagne,Allemagne,Remich,94650.09,67632.38,12,9
8,10,2020-01-18,3,C,2,3,4,3,1,1,11,12,11,5,10,6,10,11,8,5,12,5,2,3,2,0,1,1,129,REMICH Frontière,N2,Allemagne <-> Remich deux sens ,Allemagne,Remich,94650.09,67632.38,28,19
9,11,2020-01-18,1,C,0,0,0,0,2,1,0,1,0,3,2,2,2,2,1,0,0,2,5,1,0,1,0,0,25,WORMELDANGE Frontière,CR122B,Wormeldange vers Allemagne,Wormeldange,Allemagne,96998.64,74772.195,4,7
