Month,Date,Cars
January,Saturday,10620
January,Sunday,1783
January,Weekdays,23121.0
February,Saturday,10831
February,Sunday,1410
February,Weekdays,24434.8
March,Saturday,11920
March,Sunday,1879
March,Weekdays,26393.0
April,Saturday,6185
April,Sunday,819
April,Weekdays,12754.4
May,Saturday,7100
May,Sunday,635
May,Weekdays,25500.8
June,Saturday,11175
June,Sunday,1376
June,Weekdays,27223.6
July,Saturday,12173
July,Sunday,2208
July,Weekdays,28155.6
August,Saturday,8830
August,Sunday,1935
August,Weekdays,17487.8
September,Saturday,12180
September,Sunday,1988
September,Weekdays,26813.6
October,Saturday,10322
October,Sunday,2261
October,Weekdays,25024.6
November,Saturday,11696
November,Sunday,2032
November,Weekdays,27222.0
December,Saturday,11546
December,Sunday,1933
December,Weekdays,27279.4
