POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y
2,2018-01-20,3,C,1,0,2,1,0,4,8,10,8,14,11,16,8,9,5,7,3,5,2,6,3,3,2,2,130,WEMPERHARDT Frontière,N12,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,71763.83,135930.69
7,2018-01-20,3,C,2,3,2,3,1,3,3,5,9,9,5,3,5,5,7,4,4,1,5,4,0,1,0,0,84,WASSERBILLIG Frontière,N1,Allemagne <-> Wasserbillig deux sens ,Allemagne,Wasserbillig,104390.6,86705.04
10,2018-01-20,3,C,1,3,3,3,2,5,3,5,7,9,12,11,3,5,6,1,5,10,4,3,1,1,2,0,105,REMICH Frontière,N2,Allemagne <-> Remich deux sens ,Allemagne,Remich,94650.09,67632.38
11,2018-01-20,3,C,2,3,60,0,0,1,1,1,41,1,2,7,4,4,35,3,0,0,0,3,0,1,0,0,169,WORMELDANGE Frontière,CR122B,Wormeldange <-> Allemagne deux sens ,Wormeldange,Allemagne,96998.64,74772.195
15,2018-01-20,3,C,0,0,0,0,0,0,1,1,6,8,3,1,2,1,1,0,0,0,0,1,0,0,0,1,26,DUDELANGE Frontière,CR184,France <-> Luxembourg deux sens ,France,Luxembourg,73685.16,58403.06
16,2018-01-20,3,C,0,0,1,0,0,1,3,2,2,2,2,1,4,2,1,1,5,1,3,3,2,2,1,1,40,ESCH-ALZETTE Frontière,N4,France <-> Esch/Alzette deux sens ,France,Esch/Alzette,65805.016,61554.85
20,2018-01-20,3,C,0,1,2,1,1,1,1,0,1,1,4,5,2,2,3,1,2,1,0,2,1,1,0,0,33,STEINFORT Frontière,N6,Belgique <-> Steinfort deux sens ,Belgique,Steinfort,60990.77,80497.3
21,2018-01-20,3,C,1,4,1,4,5,10,16,16,24,20,25,21,15,13,10,9,10,9,7,9,4,7,5,1,246,CAP,N6,Windhof <-> Capellen deux sens ,Windhof,Capellen,65806.37,79096.31
24,2018-01-20,3,C,2,2,3,3,1,8,11,13,11,13,17,12,15,14,10,10,10,10,11,8,12,8,5,5,214,RODANGE,N5,France <-> Rodange deux sens ,France,Rodange,55248.91,68011.25
25,2018-01-20,3,C,0,1,0,2,1,3,8,4,7,4,5,5,5,3,6,5,3,2,2,2,2,0,1,0,71,PETANGE,N5b,Pétange <-> Athus deux sens ,Pétange,Athus,57345.37,69400.0
26,2018-01-20,3,C,6,11,10,11,24,29,34,28,33,32,26,23,15,15,18,12,11,9,14,18,8,14,10,2,413,PETANGE,N31,Lamadelaine <-> Biff deux sens ,Lamadelaine,Biff,58072.58,69260.56
27,2018-01-20,3,C,0,0,0,0,0,0,0,1,1,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,10,VIANDEN Frontière,N17A,Allemagne <-> Luxembourg deux sens ,Allemagne,Luxembourg,84055.21,110409.38
30,2018-01-20,3,C,1,1,0,0,0,1,3,2,7,6,3,3,3,0,4,3,3,1,1,0,1,1,1,0,45,FRISANGE Frontière,N3,France <-> Frisange deux sens ,France,Frisange,81513.98,64407.594
345,2018-01-20,3,C,1,1,0,2,2,2,6,9,10,4,10,13,7,6,5,5,5,3,6,0,1,4,1,1,104,BETTEMBOURG,N31,Bettembourg <-> Luxembourg deux sens ,Bettembourg,Luxembourg,75075.93,65482.97
390,2018-01-20,3,C,1,1,1,1,1,2,9,18,15,11,17,13,14,17,14,11,16,10,10,7,7,5,4,4,209,SIEWEBUREN,N12,Siewebueren <-> Bridel deux sens ,Siewebueren,Bridel,74099.87,77610.51
403,2018-01-20,3,C,2,1,2,1,2,2,3,6,7,9,10,8,6,6,5,7,11,11,8,10,5,4,4,3,133,DOMMELDANGE,N11,Waldhof <-> Eich deux sens ,Waldhof,Eich,78879.72,78359.77
405,2018-01-20,3,C,1,1,3,2,0,7,12,25,15,19,16,12,16,16,12,18,12,13,16,13,11,9,5,7,261,KOPSTAL,N12,Kopstal <-> Luxembourg deux sens ,Kopstal,Luxembourg,73041.125,80599.945
406,2018-01-20,3,C,0,2,0,5,5,2,4,5,13,10,6,8,4,1,7,2,3,4,2,5,0,0,0,0,88,SCHOENFELS,CR102,Mersch <-> Schoenfels deux sens ,Mersch,Schoenfels,74880.55,88877.625
407,2018-01-20,3,C,9,4,3,2,5,15,24,24,27,25,25,19,21,19,25,16,21,20,21,21,19,12,11,9,397,HELFENT,N5,Dippach <-> Luxembourg deux sens ,Dippach,Luxembourg,72102.234,73862.96
413,2018-01-20,3,C,8,6,8,9,12,15,19,24,17,23,19,18,17,18,20,17,18,14,11,10,16,7,9,6,341,MAMER ,N6,Mamer <-> Strassen deux sens ,Mamer,Strassen,70278.65,76882.81
414,2018-01-20,3,C,2,1,1,4,6,5,14,18,22,19,12,15,11,15,15,10,6,10,10,8,7,4,5,5,225,KEHLEN,CR102,Kehlen <-> Quatre-Vents deux sens ,Kehlen,Quatre-Vents,70521.94,81870.375
415,2018-01-20,3,C,2,0,2,0,4,8,10,15,20,9,10,8,17,14,10,11,13,3,6,6,3,1,0,1,173,BIERGERKRAIZ,CR181,Bereldange <-> Biergerkraiz deux sens ,Bereldange,Biergerkraiz,75224.84,79101.29
